id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1398761227891798016,1398761227891798016,2021-05-29 18:00:39 Eastern Daylight Time,2021-05-29,18:00:39,-0400,20322929,wizkhalifa,Wiz Khalifa,,Just dropped a fresh DayToday on Youtube 🎬  https://t.co/V6wVVMRtVQ  https://t.co/7koOVbpNPg,en,[],['https://youtu.be/UaYegzsZyo0'],['https://pbs.twimg.com/media/E2ll6DjVEAI9qjQ.png'],29,56,359,[],[],https://twitter.com/wizkhalifa/status/1398761227891798016,False,,1,https://pbs.twimg.com/media/E2ll6DjVEAI9qjQ.png,,,,,,,[],,,,
1398423409927675906,1398423409927675906,2021-05-28 19:38:17 Eastern Daylight Time,2021-05-28,19:38:17,-0400,20322929,wizkhalifa,Wiz Khalifa,,🔥🔥@McQueenVF,und,"[{'screen_name': 'mcqueenvf', 'name': 'mcqueenvf', 'id': '809163647125749771'}]",[],[],34,40,506,[],[],https://twitter.com/wizkhalifa/status/1398423409927675906,False,https://twitter.com/mcqueenvf/status/1398423198958456832,0,,,,,,,,[],,,,
1398386854764949510,1398386854764949510,2021-05-28 17:13:01 Eastern Daylight Time,2021-05-28,17:13:01,-0400,20322929,wizkhalifa,Wiz Khalifa,,Thanks mane,en,[],[],[],22,18,406,[],[],https://twitter.com/wizkhalifa/status/1398386854764949510,False,https://twitter.com/Emmanue97811378/status/1398384976492650501,0,,,,,,,,[],,,,
1398386806903738371,1398386806903738371,2021-05-28 17:12:50 Eastern Daylight Time,2021-05-28,17:12:50,-0400,20322929,wizkhalifa,Wiz Khalifa,,Tell me about it,en,[],[],[],12,24,490,[],[],https://twitter.com/wizkhalifa/status/1398386806903738371,False,https://twitter.com/Kgothii_thetall/status/1398385142763249665,0,,,,,,,,[],,,,
1398386461930557447,1398386461930557447,2021-05-28 17:11:27 Eastern Daylight Time,2021-05-28,17:11:27,-0400,20322929,wizkhalifa,Wiz Khalifa,,I been doin that for years. Iont mind switchin it up. The kush aint goin no where.,en,[],[],[],38,88,1024,[],[],https://twitter.com/wizkhalifa/status/1398386461930557447,False,https://twitter.com/ConnorDoughert1/status/1398385858579992577,0,,,,,,,,[],,,,
1398383286452469760,1398383286452469760,2021-05-28 16:58:50 Eastern Daylight Time,2021-05-28,16:58:50,-0400,20322929,wizkhalifa,Wiz Khalifa,,Proud of myself for actually eating my food before I smoked. This might be a new thing for me to try out.,en,[],[],[],534,2444,27901,[],[],https://twitter.com/wizkhalifa/status/1398383286452469760,False,,0,,,,,,,,[],,,,
1397738489936977926,1397738489936977926,2021-05-26 22:16:39 Eastern Daylight Time,2021-05-26,22:16:39,-0400,20322929,wizkhalifa,Wiz Khalifa,,Just dropped the SKI (Weedmix) 🔥🔥🔥 Stream it on @YouTube &amp; @SoundCloud   🎬  https://t.co/dNIRYfl5DF 🎶  https://t.co/WIsDosj33c  https://t.co/P97ui8DiPe,en,"[{'screen_name': 'youtube', 'name': 'youtube', 'id': '10228272'}, {'screen_name': 'soundcloud', 'name': 'soundcloud', 'id': '5943942'}]","['https://youtu.be/i51zIv9Jz88', 'http://soundcloud.com/wizkhalifa/ski-weedmix']",[],81,660,2790,[],[],https://twitter.com/wizkhalifa/status/1397738489936977926,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1397738468042625028/pu/img/QjhaNx7cu0l1BSd4.jpg,,,,,,,[],,,,
1397719114089517057,1397719114089517057,2021-05-26 20:59:39 Eastern Daylight Time,2021-05-26,20:59:39,-0400,20322929,wizkhalifa,Wiz Khalifa,,Who thought it was me?  #TheMaskedSinger  @MaskedSingerFOX  https://t.co/31mQWLwRYv,en,"[{'screen_name': 'maskedsingerfox', 'name': 'the masked singer', 'id': '1002595894162644993'}]",[],['https://pbs.twimg.com/media/E2WyDxJUcAAlWq3.jpg'],542,482,5864,['themaskedsinger'],[],https://twitter.com/wizkhalifa/status/1397719114089517057,False,,1,https://pbs.twimg.com/media/E2WyDxJUcAAlWq3.jpg,,,,,,,[],,,,
1397330197414776833,1397330197414776833,2021-05-25 19:14:14 Eastern Daylight Time,2021-05-25,19:14:14,-0400,20322929,wizkhalifa,Wiz Khalifa,,😎 @McQueenVF,und,"[{'screen_name': 'mcqueenvf', 'name': 'mcqueenvf', 'id': '809163647125749771'}]",[],[],52,101,1159,[],[],https://twitter.com/wizkhalifa/status/1397330197414776833,False,https://twitter.com/mcqueenvf/status/1397330017328111617,0,,,,,,,,[],,,,
1397297497156902912,1397297497156902912,2021-05-25 17:04:18 Eastern Daylight Time,2021-05-25,17:04:18,-0400,20322929,wizkhalifa,Wiz Khalifa,,Stopped by @BootlegKev Podcast 🔥🔥   https://t.co/EVil0slOse,en,"[{'screen_name': 'bootlegkev', 'name': 'bootleg kev', 'id': '22217396'}]",['https://youtu.be/JNuUGJ-7NCs'],[],27,54,444,[],[],https://twitter.com/wizkhalifa/status/1397297497156902912,False,,0,,,,,,,,[],,,,
